,src,question,prompt,response,id,target,participant,response_num,count,split
0,motesf,What is a surprising use for a PENCIL?,pencil,you could get tape and wrap it around so then it looks pretty.,motesf_pencil-1175,2.4,motesf202c,3,,test
1,dod20,What is a surprising use for a BOOK?,book,back brace,dod20_book-2f63,4.5,dod2036,3,,test
2,motesf,What is a surprising use for a SPOON?,spoon,A surprising use for a spoon would be a hat for something or someone that has a small head.,motesf_spoon-4ff1,3.3,motesf7588,5,,test
3,dod20,What is a surprising use for a TIRE?,tire,sand box,dod20_tire-5e0f,3.2,dod201,3,,test
4,dod20,What is a surprising use for a BOTTLE?,bottle,throwing object,dod20_bottle-eae5,2.5,dod2036,1,,test
5,dod20,What is a surprising use for PANTS?,pants,bandage,dod20_pants-798c,2.5,dod208,15,4.0,test
6,snbmo09,What is a surprising use for a BRICK?,brick,use it as a decorative object,snbmo09_brick-4ff8,1.5,snbmo09176,4,,test
7,hmsl,What is a surprising use for a BRICK?,brick,put in backpack for training,hmsl_brick-7bf6,3.5,hmsl1y5hCDj2,4.0,,test
8,snb17,What is a surprising use for a ROPE?,rope,climbing down a high object,snb17_rope-a9d3,1.3,snb17142,,,test
9,setal08,What is a surprising use for a BRICK?,brick,flatten out wrinkled dollar bills,setal08_brick-9f1b,2.0,setal08186,6.0,,test
10,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,use to jimmy a lock,hmsl_paperclip-aff2,2.3,hmsl7OHW073E,6.0,,test
11,betal18,What is a surprising use for a BOX?,box,car if you attach wheels,betal18_box-16f1,1.3,betal182111,,,test
12,snbmo09,What is a surprising use for a KNIFE?,knife,to get into a window,snbmo09_knife-b6f5,1.5,snbmo09117,1,,test
13,motesf,What is a surprising use for a SPOON?,spoon,a launcher,motesf_spoon-4ca0,2.7,motesf819f,5,2.0,test
14,setal08,What is a surprising use for a KNIFE?,knife,use for a writing utensil,setal08_knife-1ba7,1.7,setal08146,3.0,,test
15,dod20,What is a surprising use for a SHOVEL?,shovel,fill in,dod20_shovel-9cbe,1.5,dod2037,3,,test
16,snbmo09,What is a surprising use for a BOX?,box,paint and make a child's tunnel,snbmo09_box-0102,2.3,snbmo0922,1,,test
17,snb17,What is a surprising use for a BOX?,box,soccer goal/net,snb17_box-e7eb,2.0,snb17100,,,test
18,dod20,What is a surprising use for a BOTTLE?,bottle,lamp base,dod20_bottle-bf4f,4.2,dod2073,7,,test
19,betal18,What is a surprising use for a ROPE?,rope,use to pull a person with,betal18_rope-0f96,1.3,betal182133,,,test
20,dod20,What is a surprising use for a BOOK?,book,booster seat,dod20_book-4b84,3.0,dod2053,7,3.0,test
21,setal08,What is a surprising use for a KNIFE?,knife,for a mirror,setal08_knife-06e0,2.0,setal08240,11.0,,test
22,dod20,What is a surprising use for a SHOE?,shoe,kick,dod20_shoe-51a8,1.5,dod2013,2,,test
23,motesf,What is a surprising use for a BALL?,ball,make two balls,motesf_ball-b100,2.1,motesf1c9a,6,,test
24,dod20,What is a surprising use for a ROPE?,rope,to hand stuff on,dod20_rope-7fb4,2.5,dod2049,3,,test
25,motesf,What is a surprising use for a SPOON?,spoon,You can bend the spoon and make a slingshot.,motesf_spoon-4034,2.7,motesfd709,5,,test
26,betal18,What is a surprising use for a BOX?,box,using it as a shield,betal18_box-ce81,1.6,betal182084,,,test
27,hmsl,What is a surprising use for a BRICK?,brick,Build an artistic monument  ,hmsl_brick-2136,2.7,hmsl5yhjjPmZ,4.0,,test
28,snb17,What is a surprising use for a ROPE?,rope,cowboy impersonations,snb17_rope-1e94,2.3,snb1795,,,test
29,snbmo09,What is a surprising use for a BRICK?,brick,a tire,snbmo09_brick-90ef,1.7,snbmo0958,10,,test
30,snb17,What is a surprising use for a BOX?,box,stepping stool,snb17_box-0514,1.6,snb17111,,5.0,test
31,motesf,What is a surprising use for a BOTTLE?,bottle,a rocketship,motesf_bottle-4435,3.2,motesfbc6d,8,2.0,test
32,bs12,What is a surprising use for a BRICK?,brick,use a to way down something,bs12_brick-8d06,1.0,bs1217,,,test
33,motesf,What is a surprising use for a BALL?,ball,Cut out the ends and make 1 small cut and 1 cut a little bit bigger than that. Then attach a small piece of glass on the small cut and attach a slightly bigger glass to the slightly bigger hole. Now you can use it as a telescope.,motesf_ball-843b,5.0,motesf3fe9,1,,test
34,snb17,What is a surprising use for a BOX?,box,Hide out in the woods,snb17_box-d337,2.0,snb1781,,,test
35,dod20,What is a surprising use for a SHOVEL?,shovel,stuck into the ground to make a fence,dod20_shovel-37ba,3.0,dod2056,4,,test
36,betal18,What is a surprising use for a BOX?,box,Paneling for a tiny home,betal18_box-4188,2.7,betal182100,,,test
37,betal18,What is a surprising use for a BOX?,box,stage,betal18_box-6d47,2.3,betal182071,,3.0,test
38,hmsl,What is a surprising use for a BRICK?,brick,Used around a fireplace,hmsl_brick-414b,1.5,hmslA04NGLXd,7.0,,test
39,betal18,What is a surprising use for a ROPE?,rope,splint,betal18_rope-78f6,3.0,betal182007,,2.0,test
40,motesf,What is a surprising use for a PENCIL?,pencil,Eat the eraser uwu,motesf_pencil-a34b,3.0,motesf7e77,4,,test
41,betal18,What is a surprising use for a BOX?,box,Time Capsule,betal18_box-bb13,2.1,betal182030,,,test
42,dod20,What is a surprising use for a TABLE?,table,putting safe obljects in a place,dod20_table-6457,2.0,dod2040,5,,test
43,setal08,What is a surprising use for a BRICK?,brick,parking lots,setal08_brick-f446,1.0,setal08177,10.0,,test
44,hmsl,What is a surprising use for a BRICK?,brick,weight to hold objects in place,hmsl_brick-c1e2,1.5,hmsl737W95CH,3.0,,test
45,snbmo09,What is a surprising use for a BOX?,box,take the box and flatten it and make cardboard roads,snbmo09_box-35c1,2.7,snbmo094,3,,test
46,motesf,What is a surprising use for a HAT?,hat,A small little bucket for toys or anything,motesf_hat-122d,2.7,motesf3ef8,6,,test
47,motesf,What is a surprising use for a BALL?,ball,For a ball we could use it as a bouncy ball or a basketball a soccer ball maybe?,motesf_ball-f81a,1.6,motesffa7c,3,,test
48,snbmo09,What is a surprising use for a BRICK?,brick,an item to paint/art,snbmo09_brick-a464,2.8,snbmo09133,6,,test
49,betal18,What is a surprising use for a BOX?,box,A serving dish,betal18_box-f422,1.9,betal182092,,,test
50,dod20,What is a surprising use for a SHOVEL?,shovel,decoration,dod20_shovel-5216,2.8,dod2022,2,6.0,test
51,setal08,What is a surprising use for a KNIFE?,knife,paper cut (no scissors),setal08_knife-46de,1.7,setal08190,6.0,,test
52,dod20,What is a surprising use for PANTS?,pants,wind tunnel flag,dod20_pants-a6b1,3.8,dod2083,0,,test
53,motesp,What is a surprising use for a LIGHT BULB?,lightbulb,"Conect lots of batteries to the wires that connect to the light bulb, and try to make the light bulb as hot as I can.",motesp-g1_lightbulb-33RM,3.0,33RM,,,test
54,motesf,What is a surprising use for a BALL?,ball,I fly ball,motesf_ball-ba51,2.1,motesfa4a0,6,,test
55,betal18,What is a surprising use for a BOX?,box,bed,betal18_box-cf5d,1.1,betal182181,,24.0,test
56,hmsl,What is a surprising use for a BRICK?,brick,draw a tic tac toe board on it,hmsl_brick-b948,3.7,hmslPfZkRQMq,5.0,,test
57,dod20,What is a surprising use for a TABLE?,table,to cut the chicken on top,dod20_table-bd4f,1.5,dod2025,4,,test
